iter	Passed	Remaining
0	5	1000
1	10	999
2	14	949
3	18	929
4	23	919
5	28	906
6	33	920
7	37	911
8	42	894
9	46	885
10	50	875
11	55	863
12	59	862
13	64	853
14	68	845
15	74	854
16	78	846
17	82	838
18	87	836
19	92	831
20	97	831
21	102	831
22	106	823
23	111	819
24	115	811
25	119	802
26	124	798
27	128	792
28	133	784
29	138	782
30	142	776
31	146	768
32	150	764
33	155	758
34	159	753
35	164	749
36	168	742
37	172	737
38	177	731
39	181	725
40	185	719
41	189	714
42	194	710
43	198	704
44	203	699
45	207	694
46	211	689
47	216	685
48	220	679
49	224	674
50	229	669
51	233	663
52	237	659
53	242	655
54	246	650
55	251	646
56	255	641
57	259	635
58	263	630
59	268	626
60	272	621
61	277	617
62	282	613
63	285	607
64	290	602
65	294	597
66	298	593
67	303	589
68	307	584
69	311	578
70	315	573
71	320	569
72	324	564
73	328	559
74	332	554
75	337	550
76	341	546
77	346	541
78	350	537
79	356	534
80	361	530
81	366	526
82	370	522
83	374	517
84	380	514
85	384	509
86	388	504
87	394	501
88	399	497
89	403	493
90	408	488
91	412	484
92	416	479
93	421	475
94	425	470
95	430	466
96	435	462
97	439	457
98	444	453
99	449	449
100	453	444
101	458	440
102	462	435
103	467	431
104	471	426
105	476	422
106	480	417
107	485	413
108	489	408
109	494	404
110	499	400
111	503	395
112	508	391
113	513	387
114	517	382
115	522	378
116	526	373
117	530	368
118	535	364
119	539	359
120	543	354
121	547	350
122	552	345
123	556	341
124	561	336
125	565	332
126	569	327
127	574	323
128	578	318
129	582	313
130	587	309
131	592	305
132	596	300
133	601	296
134	606	292
135	614	288
136	619	284
137	625	280
138	631	276
139	636	272
140	641	268
141	646	263
142	653	260
143	658	255
144	664	252
145	670	247
146	680	245
147	685	240
148	692	237
149	697	232
150	702	228
151	707	223
152	711	218
153	716	214
154	721	209
155	725	204
156	730	199
157	734	195
158	738	190
159	743	185
160	747	181
161	752	176
162	756	171
163	761	167
164	766	162
165	771	157
166	775	153
167	780	148
168	785	144
169	789	139
170	794	134
171	799	130
172	805	125
173	809	121
174	814	116
175	820	111
176	824	107
177	830	102
178	835	97
179	839	93
180	845	88
181	850	84
182	854	79
183	859	74
184	863	70
185	868	65
186	873	60
187	877	56
188	883	51
189	887	46
190	892	42
191	897	37
192	902	32
193	906	28
194	911	23
195	915	18
196	920	14
197	924	9
198	928	4
199	934	0
