iter	Passed	Remaining
0	2	526
1	4	479
2	6	454
3	8	440
4	11	432
5	13	423
6	15	422
7	17	418
8	19	415
9	21	411
10	23	408
11	25	404
12	28	405
13	30	411
14	33	409
15	35	407
16	37	406
17	39	404
18	42	403
19	44	404
20	48	409
21	50	408
22	53	410
23	55	410
24	58	409
25	60	407
26	63	404
27	65	401
28	67	398
29	69	395
30	71	392
31	73	388
32	76	385
33	78	385
34	81	385
35	84	386
36	87	386
37	90	387
38	93	386
39	96	386
40	99	386
41	102	385
42	105	385
43	108	384
44	111	382
45	113	381
46	116	379
47	119	377
48	121	375
49	124	374
50	127	372
51	130	370
52	132	368
53	135	366
54	138	364
55	141	363
56	143	361
57	146	358
58	149	356
59	152	354
60	154	352
61	157	349
62	159	347
63	162	344
64	164	342
65	167	340
66	170	337
67	172	335
68	175	333
69	178	331
70	180	328
71	183	326
72	185	323
73	188	320
74	190	318
75	193	315
76	195	312
77	198	310
78	201	308
79	203	305
80	206	302
81	208	300
82	211	297
83	213	295
84	216	292
85	218	289
86	221	287
87	223	284
88	226	282
89	228	279
90	231	277
91	234	274
92	236	272
93	239	269
94	241	267
95	244	264
96	246	262
97	249	259
98	251	256
99	253	253
100	255	250
101	258	248
102	261	246
103	264	244
104	267	242
105	270	239
106	273	237
107	275	234
108	278	232
109	280	229
110	283	226
111	285	224
112	288	222
113	291	219
114	293	217
115	296	214
116	298	212
117	301	209
118	304	207
119	306	204
120	309	202
121	312	199
122	315	197
123	317	194
